FBID	logFC_ActVsCs	logCPM_ActVsCs	LR_ActVsCs	PValue_ActVsCs	logFC_RepVsCs	logCPM_RepVsCs	LR_RepVsCs	PValue_RepVsCs
mt:CoI	-1.02802715377471	11.4162947403447	9.32350244999179	0.00226233140520936	-0.52465908058265	11.4162947403447	2.46576508522594	0.116351035917111
mt:CoII	-1.0558842159662	9.94284098649946	12.7492612092042	0.000356149811887211	-0.572228745699287	9.94284098649946	3.80287601005375	0.0511646290184186
mt:CoIII	-1.20467150333908	12.334013092303	16.3838525418314	5.17240017471833e-05	-0.329648088024123	12.334013092303	1.25921913024831	0.261798950336177
mt:Cyt-b	-1.30291290303652	10.3902306851288	11.6622138821876	0.00063782392716144	-1.28057789797242	10.3902306851288	11.2776672780719	0.000784450649643464
mt:lrRNA	-0.617411203817689	15.528206934997	6.3349172827584	0.011838363740135	-0.538704075449624	15.528206934997	4.8313870664424	0.0279461384807317
mt:ND1	-1.53023312774309	9.3079482175181	18.4805384291733	1.71648142182075e-05	-0.153278320295794	9.3079482175181	0.193937907476766	0.659659142763856
mt:ND2	-1.82008196314857	2.39228165805711	12.5736332076327	0.000391227261199717	-1.37531043538153	2.39228165805711	7.44496222527233	0.00636142542258674
mt:ND3	-1.82835323359618	2.5211522328635	12.9664334246376	0.000317125565629661	-2.53447493117632	2.5211522328635	22.9999805157683	1.62003040140579e-06
mt:ND4	-0.628139343013147	6.41586492634454	2.11758319626166	0.145616168331473	-1.34720219976485	6.41586492634454	9.45808803205594	0.00210220080986541
mt:ND4L	-1.78985733852992	5.81615402247231	21.8172061200941	2.99898649237043e-06	-0.661925805398519	5.81615402247231	3.15921985670426	0.0754992550488144
mt:ND5	-0.670384968642805	6.69341410819542	4.40896828189167	0.0357504568562329	-0.727507119035365	6.69341410819542	5.18053162897976	0.0228413341154266
mt:ori	-1.76791917010102	4.80538037117076	25.9024267911196	3.59117388083419e-07	-0.65935897115905	4.80538037117076	3.84055505348438	0.0500269575269391
mt:srRNA	-0.598248651067637	0.496252571669223	0.4973107323548	0.480684152349406	-2.32558551755979	0.496252571669223	6.3021030573878	0.0120594819993714
Mt2	-0.534831517516106	1.43667141476838	1.00761691647483	0.315474429708684	-0.360076501212818	1.43667141476838	0.459940276923869	0.497651886153353
MTA1-like	-0.265796193558241	8.09040393456788	0.826466209981248	0.363296355629079	0.188672571858839	8.09040393456788	0.417021097122394	0.518427213914682
Mtap	1.25607250583385	5.55177686602439	18.7200322434963	1.51383753178035e-05	0.0737701595294062	5.55177686602439	0.0653642464354469	0.798210045299079
Mtch	-1.01854825329628	6.50261867880977	15.109869988686	0.000101431581124951	-0.661774488301725	6.50261867880977	6.46418615938441	0.0110070039403156
mtd	-0.629891066320377	8.31658516090975	1.68482293348302	0.194284828792104	-0.109980714169481	8.31658516090975	0.051769294715541	0.820012679968748
mtDNA-helicase	0.541246448459473	4.74061027530621	3.83921677393247	0.0500669038794044	0.46458859090614	4.74061027530621	2.82184655641768	0.0929893694999593
mTerf3	-1.14437537277077	2.65728418046902	8.85425873167655	0.00292405843673832	-0.724300352978553	2.65728418046902	3.65169478473195	0.0560121876255586
mTerf5	-0.844681586691927	3.15093690713545	5.15630040629256	0.0231621850929997	-0.624571349366633	3.15093690713545	2.84847850527829	0.0914604557652347
MTF-1	0.490983476471481	6.38639260645944	3.58176040904999	0.05841721422612	0.0377269879357884	6.38639260645944	0.0211480199495924	0.884376442082845
mtg	1.29934182834272	3.0856949256901	11.1996540760832	0.000818125821263486	0.629506507970234	3.0856949256901	2.60457028499138	0.106556036544636
mth	-0.306766464260947	4.97369433128681	1.25241286004351	0.263092134002276	-0.013821998931937	4.97369433128681	0.00255696092801827	0.959671036534553
